FULL_CU_IN,Area,Species,SMU,SMU Proper
SEL-22-10,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-11,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-23-02,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-21-09,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-12,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-21-10,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-21-11,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-21-xx (02?),NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SER-12,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-13,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-14,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-15,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-16,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-17,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-18,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-19,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-20,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-21,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SER-22,NORTH COAST,Sockeye,NO DESIGNATED SMU,No Designated Smu
SEL-11-01,SOUTH COAST,Sockeye,ECVI/MAINLAND SOCKEYE SALMON ,ECVI/Mainland Sockeye Salmon 
