FULL_CU_IN,Area,Species,SMU,SMU Proper
SEL-19-33,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-34,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-35,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-36,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-37,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-38,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-39,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-40,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-41,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-42,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-43,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-44,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-45,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-18-09,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-46,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-47,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
PKE-1,SOUTH COAST,Even Year Pink,ECVI/MAINLAND PINK SALMON - EVEN,ECVI/Mainland Pink Salmon - Even
PKE-4,SOUTH COAST,Even Year Pink,ECVI/MAINLAND PINK SALMON - EVEN,ECVI/Mainland Pink Salmon - Even
PKO-4,SOUTH COAST,Odd Year Pink,ECVI/MAINLAND PINK SALMON - ODD,ECVI/Mainland Pink Salmon - Odd
PKO-5,SOUTH COAST,Odd Year Pink,ECVI/MAINLAND PINK SALMON - ODD,ECVI/Mainland Pink Salmon - Odd
PKO-7,SOUTH COAST,Odd Year Pink,ECVI/MAINLAND PINK SALMON - ODD,ECVI/Mainland Pink Salmon - Odd
PKO-3,SOUTH COAST,Odd Year Pink,ECVI/MAINLAND PINK SALMON - ODD,ECVI/Mainland Pink Salmon - Odd
SEL-19-48,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-49,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-50,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-51,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-52,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-53,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-54,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-55,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-56,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-71,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-57,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-58,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-59,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-60,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-61,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-62,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-63,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-64,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-09,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-65,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-66,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-67,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-68,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-18-11,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-69,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-19-70,NORTH COAST,Sockeye,CENTRAL COAST SOCKEYE SALMON ,Central Coast Sockeye Salmon 
SEL-17-01,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
SEL-17-02,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
SEL-17-03,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
CO-5,FRASER,Coho,INTERIOR FRASER COHO SALMON,Interior Fraser Coho Salmon
CO-7,FRASER,Coho,INTERIOR FRASER COHO SALMON,Interior Fraser Coho Salmon
CO-48,FRASER,Coho,INTERIOR FRASER COHO SALMON,Interior Fraser Coho Salmon
CO-9,FRASER,Coho,INTERIOR FRASER COHO SALMON,Interior Fraser Coho Salmon
CO-8,FRASER,Coho,INTERIOR FRASER COHO SALMON,Interior Fraser Coho Salmon
SEL-17-04,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
CO-4,FRASER,Coho,LOWER FRASER COHO SALMON,Lower Fraser Coho Salmon
SEL-17-05,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
CK-3,FRASER,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,Fraser Fall Run 41 Chinook Salmon
CK-7,FRASER,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,Fraser Summer Run 41 Chinook Salmon
CK-4,FRASER,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Spring Run 52 Chinook Salmon
CK-6,FRASER,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Summer Run 52 Chinook Salmon
CK-5,FRASER,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Spring Run 52 Chinook Salmon
CO-47,FRASER,Coho,LOWER FRASER COHO SALMON,Lower Fraser Coho Salmon
CO-47,FRASER,Coho,LOWER FRASER COHO SALMON,Lower Fraser Coho Salmon
CK-17,FRASER,Chinook,FRASER SPRING RUN 42 CHINOOK SALMON,Fraser Spring Run 42 Chinook Salmon
CK-9,FRASER,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Summer Run 52 Chinook Salmon
CK-10,FRASER,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Spring Run 52 Chinook Salmon
CK-8,FRASER,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Spring Run 52 Chinook Salmon
CK-11,FRASER,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Summer Run 52 Chinook Salmon
SEL-17-10,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
SEL-17-06,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
SEL-17-07,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
CK-18,FRASER,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,Fraser Spring Run 52 Chinook Salmon
CK-19,FRASER,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,Fraser Summer Run 52 Chinook Salmon
CK-1,FRASER,Chinook,OKANAGAN CHINOOK SALMON,Okanagan Chinook Salmon
SEL-17-08,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
SEL-17-09,NORTH COAST,Sockeye,HAIDA GWAII SOCKEYE SALMON,Haida Gwaii Sockeye Salmon
SEL-24-01,NORTH COAST,Sockeye,NASS SOCKEYE SALMON,Nass Sockeye Salmon
SEL-24-02,NORTH COAST,Sockeye,NASS SOCKEYE SALMON,Nass Sockeye Salmon
SEL-24-03,NORTH COAST,Sockeye,NASS SOCKEYE SALMON,Nass Sockeye Salmon
CK-15,FRASER,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,Fraser Summer Run 41 Chinook Salmon
CK-13,FRASER,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,Fraser Summer Run 41 Chinook Salmon
